,nom_artista,reproducciones
0,"Bad Bunny, Chencho Corleone",11475496
1,"Bad Bunny, Bomba Estéreo",10308227
2,Bad Bunny,9386512
3,Bad Bunny,7820434
4,"Bad Bunny, Rauw Alejandro",7564441
5,"Bad Bunny, Jhay Cortez",7414725
6,"Shakira, Rauw Alejandro",7001196
7,KAROL G,6841177
8,KAROL G,6719886
9,Bad Bunny,6355954
10,"Bad Bunny, Jhay Cortez",4560530
11,Calibre 50,4444675
12,Victor Cibrian,4395363
13,Harry Styles,4214885
14,Bad Bunny,4142220
15,"Bad Bunny, Buscabulla",4022432
16,Calibre 50,3977114
17,"Bad Bunny, ROSALÍA",3870457
18,Cris Mj,3828372
19,"Tainy, Bad Bunny, Julieta Venegas",3778124
20,Bad Bunny,3774816
21,Maluma,3652078
22,"La Adictiva Banda San José de Mesillas, Luis R Conriquez",3601824
23,"zzoilo, Aitana",3566234
24,"Bad Bunny, Tony Dize",3566141
25,Bad Bunny,3534554
26,Bad Bunny,3526862
27,"Junior H, Luis R Conriquez",3466479
28,Eden Muñoz,3465826
29,Grupo Firme,3430374
30,Bad Bunny,3425322
31,"Becky G, KAROL G",3317651
32,Kevin Kaarl,3301405
33,"Rauw Alejandro, Chencho Corleone",3296344
34,"Rauw Alejandro, Anuel AA",3292992
35,Danny Ocean,3284351
36,Bad Bunny,3254356
37,Christian Nodal,3242254
38,Bad Bunny,3194584
39,"Polimá Westcoast, Pailita",3166329
40,Bad Bunny,3162722
41,Ryan Castro,3110501
42,Rauw Alejandro,3006171
43,Bad Bunny,2978223
44,"Matisse, Carin Leon",2935811
45,Marca MP,2933494
46,"Bad Bunny, The Marías",2856891
47,"Grupo Firme, Carin Leon",2855069
48,"Santa Fe Klan, Neto Peña, Yoss Bones",2796184
49,Kate Bush,2737993
50,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",2678436
51,"Lele Pons, Guaynaa",2677503
52,Farruko,2650289
53,"Grupo Firme, Maluma",2636653
54,Farruko,2631958
55,"Christian Nodal, Ángela Aguilar",2597973
56,Grupo Los de la O,2584837
57,"Tainy, Bad Bunny, Julieta Venegas",2559749
58,"Daddy Yankee, Bad Bunny",2531908
59,Grupo Marca Registrada,2512107
60,"Aventura, Bad Bunny",2499543
61,"Gera MX, Christian Nodal",2438772
62,Boza,2411603
63,Sebastian Yatra,2386746
64,"Wisin, Myke Towers, Los Legendarios",2379083
65,"Elton John, Dua Lipa, PNAU",2363143
66,Bad Bunny,2348647
67,Anitta,2337086
68,Calibre 50,2334607
69,"Bad Bunny, Jhay Cortez",2332330
70,"Manuel Turizo, Rauw Alejandro, Myke Towers",2330065
71,Bad Bunny,2329242
72,"Sebastian Yatra, Guaynaa",2326290
73,"Bad Bunny, Tainy",2324326
74,Bad Bunny,2289667
75,Christian Nodal,2254753
76,Camilo,2253712
77,Kevin Kaarl,2175401
78,"El Fantasma, Los Dos Carnales",2169604
79,Calibre 50,2161928
80,"Grupo Firme, Lenin Ramírez",2157740
81,"LAGOS, Danny Ocean",2119809
82,"Christian Nodal, Banda MS de Sergio Lizárraga",2115385
83,Bad Bunny,2106186
84,Maluma,2075069
85,"Jay Wheeler, DJ Nelson, Myke Towers",2068909
86,KAROL G,2046718
87,C. Tangana,2025780
88,"Santa Fe Klan, Nanpa Básico",2008462
89,Sebastian Yatra,1989546
90,"Lenin Ramírez, Grupo Firme",1986926
91,Junior H,1978753
92,Bad Bunny,1976130
93,Bad Bunny,1945317
94,"Maluma, Lenny Tavárez, Justin Quiles",1933849
95,"Grupo Firme, Grupo Recluta",1876828
96,Justin Quiles,1875257
97,"Natanael Cano, Steve Aoki",1867089
