,nom_cancion,reproducciones
0,BICHOTA,17851042
1,Te Felicito,16301322
2,Tití Me Preguntó,14960812
3,Me Porto Bonito,12456996
4,DÁKITI,11289327
5,Dime Cómo Quieres,10963333
6,En El Radio Un Cochinero,10269896
7,Cabrón y Vago,8482166
8,Ojitos Lindos,8249633
9,PROVENZA,8079449
10,Hawái,7832576
11,Ya Supérame (En Vivo),7306778
12,Los Botones Azules,5579256
13,Efecto,5573917
14,A La Antigüita (En Vivo),5509365
15,Party,5469502
16,Chale,5433963
17,Vida de Rico,5198489
18,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",5045466
19,"Cnv Sound, Vol. Special 5k",4893921
20,Reloj,4727512
21,Hasta la Raíz,4676869
22,Pepas,4623999
23,Ya No Somos Ni Seremos,4621007
24,Yo Ya No Vuelvo Contigo (feat. Grupo Firme),4563192
25,San Lucas,4534719
26,Yet To Come (The Most Beautiful Moment),4529198
27,Hasta La Miel Amarga (En Vivo) (feat. Grupo Firme),4431549
28,TE DESEO LO MEJOR,4363301
29,Botella Tras Botella,4208542
30,Caramelo (Remix),4062475
31,Parce (feat. Lenny Tavárez & Justin Quiles),4038656
32,MAMIII,3893502
33,BEBÉ,3881369
34,Se Te Nota,3829612
35,GIRL LIKE ME,3812511
36,El Tóxico,3806193
37,En Tu Perra Vida,3796049
38,Ya Acabó (En Vivo),3779648
39,Palabra De Hombre,3721909
40,Relación (Remix),3670318
41,Una Noche en Medellín,3667167
42,El Envidioso,3653119
43,ULTRA SOLO,3598157
44,Envolver,3587870
45,El Baile De Santa Clos,3587604
46,JGL,3563694
47,La Tóxica (Remix) (feat. Jay Wheeler & Tempo),3549627
48,Moscow Mule,3491982
49,Te Apuesto,3474904
50,Agua,3474095
51,LA NOCHE DE ANOCHE,3381313
52,Tú (Live),3348199
53,Como La Flor (Live From Astrodome),3325659
54,Desesperados,3307932
55,Aquí Abajo,3293711
56,Andrea,3290054
57,Y Si Se Quiere Ir,3285410
58,Cada Quien,3208967
59,Hablando Claro (Live),3190673
60,Míranos Ahora,3152149
61,Me Metí En El Ruedo (En Vivo),3126192
62,As It Was,3092259
63,Y Si Se Quiere Ir,3076442
64,La Boda Del Huitlacoche (En Vivo),3049273
65,Yonaguni,3042962
66,Jugaste y Sufrí (feat. DannyLux),3021473
67,Me Metí En El Ruedo (En Vivo),2989719
68,La Jeepeta (Remix),2975045
69,Música Romántica,2926018
70,La Curiosidad,2861160
71,Vida Ventajosa,2833623
72,Se Le Ve,2830610
73,Running Up That Hill,2815555
74,Partido En Dos,2767883
75,Complicado,2766196
76,Tranquilito (Remix),2750492
77,Soy El Unico,2744364
78,"Villano Antillano: Bzrp Music Sessions, Vol. 51",2739892
79,Mar y Tierra,2690043
80,Se Fue La Pantera (En Vivo),2646221
81,Como Lo Hice Yo,2645457
82,El Baile De Santa Clos,2628903
83,Morena,2612952
84,El Doctor,2519662
85,Ya Supérame (En Vivo),2462528
86,Amnesia,2456236
87,Somos Los Que Somos (En Vivo),2449860
88,Lo Siento BB:/,2439550
89,"Ay, DiOs Mío!",2431887
90,Vaya Vaya,2428864
91,Un Millon De Primaveras,2412988
92,Cerrando Ciclos,2400091
93,El Belicon,2380782
94,Bandido,2358148
95,Nieves de Enero (En Vivo),2351947
96,¿Con Qué Se Pega un Corazón?,2340775
97,Se Acabo (En Vivo),2330170
98,Todo de Ti,2317147
99,Desde Morro,2293051
100,Jugaste y Sufrí (feat. DannyLux),2252202
101,One Kiss,2234989
102,Aguacero,2219596
103,Devuélveme A Mi Chica,2210056
104,Enemy (feat. JID),2198463
105,Aquel Nap ZzZz,2178821
106,Descansando,2163278
107,Si Fuera Fácil,2158008
108,Save Your Tears,2151066
109,Mi Niña (Remix) (feat. Los Legendarios),2149160
110,Colapso,2143316
111,Jordan,2135773
112,Huapango Amor Ranchero,2135617
113,Yo Perreo Sola,2131056
114,Tattoo (Remix),2123404
115,Nada,2117567
116,Hasta Abajo,2117009
117,A Mi Manera (En Vivo) [Un Azteca en el Azteca],2111910
118,Préstame Tu Corazón,2107836
119,Mi Tío Snoop (feat. Snoop Dogg),2097328
120,El Efecto,2067282
121,MONEY,2030310
122,El Ruddy,2027610
123,HACIENDO QUE ME AMAS,2021454
124,Only Love Can Hurt Like This,2002693
125,Qué Más Pues?,1992163
126,Hecha Pa' Mi,1990459
127,Amén,1971897
128,Típico Clásico / Yo Sé Que Te Acordarás (Live),1969892
129,El Buho (En Vivo),1963359
130,17 Años (Live) (feat. Jay de la Cueva),1959736
131,Fumando Mota,1957953
132,Mucho para Mí,1956387
133,Navidad Sin Ti,1951741
134,Mon Amour (Remix),1950298
135,Navidad Sin Ti,1930343
136,Poblado (Remix),1922050
137,Grandes Ligas,1919507
138,Llévatelo,1910086
139,Ayer Me LLamó Mi Ex (feat. Lenny Santos),1902363
140,Todo Va a Estar Bien (feat. Big Soto & Neto Peña),1895483
141,Mi Cómplice,1892644
142,Tarot,1886250
143,EL MAKINON,1872579
144,Chica Ideal,1868747
145,Fuera de Servicio (En Vivo),1861472
146,Andamos Mejor (En Vivo),1852318
147,Apaga la Luz,1846764
148,"Bzrp Music Sessions, Vol. 48",1833807
149,Mi Última Caravana,1832882
150,Sobrio,1823831
151,That That (feat. SUGA),1806249
152,Volví,1803224
153,El Viejo del Sombrerón (feat. La morocha),1776462
154,Nadie Va A Pensar En Ti Mejor Que Yo,1767575
155,Dile a Tu Orgullo (En Vivo),1751422
156,Ram Pam Pam,1751012
157,Te Encontré (En Vivo),1739150
158,17 Años (Live) (feat. Jay de la Cueva),1723568
159,Fuga Pa Cali 2,1694282
160,Mi Amor Por Ti,1692640
161,달려라 방탄,1684991
162,La Casita,1677983
163,Ojos Verdes,1661907
164,como me encanta,1645601
165,El Privilegio de Amar (Live),1643660
166,Tacones Rojos,1635966
167,love nwantiti (ah ah ah) (feat. Joeboy & Kuami Eugene),1634455
168,El Amor Soñado,1618153
169,BOMBÓN,1601010
170,Si me tomo una cerveza (REMIX),1592620
171,Y Si Se Quiere Ir,1587089
172,El Reemplazo,1577388
173,Fuera del mercado,1572355
174,Como Una Novela,1559224
175,Cuidando El Territorio,1544666
176,Dime,1544051
177,Mi Cómplice,1540525
178,Miénteme,1534455
179,Índigo,1497843
180,HOY COBRÉ,1496851
181,El Pasado Está Olvidado,1493910
182,Préndete Un Blunt (Remix),1488994
183,Despeinada,1488952
184,Esta Noche,1485869
185,100 Años,1462350
186,Llorar y Llorar,1455542
187,Par de Dosis,1452657
188,BOOKER T,1447235
189,La Chona,1446610
190,Medallo,1438777
