,nom_artista,reproducciones
0,KAROL G,17851042
1,Shakira & Rauw Alejandro,16301322
2,Bad Bunny,14960812
3,Bad Bunny & Chencho Corleone,12456996
4,Bad Bunny & Jhay Cortez,11289327
5,Christian Nodal & Ángela Aguilar,10963333
6,Victor Cibrian,10269896
7,El Fantasma & Los Dos Carnales,8482166
8,Bad Bunny & Bomba Estéreo,8249633
9,KAROL G,8079449
10,Maluma,7832576
11,Grupo Firme,7306778
12,Junior H & Luis R Conriquez,5579256
13,Bad Bunny,5573917
14,Calibre 50,5509365
15,Bad Bunny & Rauw Alejandro,5469502
16,Edén Muñoz,5433963
17,Camilo,5198489
18,Bizarrap & Nathy Peluso,5045466
19,Pure Negga,4893921
20,Rauw Alejandro & Anuel AA,4727512
21,Natalia Lafourcade,4676869
22,Farruko,4623999
23,Christian Nodal,4621007
24,Lenin Ramírez,4563192
25,Kevin Kaarl,4534719
26,BTS,4529198
27,"Luis Angel ""El Flaco""",4431549
28,Bad Bunny,4363301
29,Gera Mx & Christian Nodal,4208542
30,"KAROL G, Myke Towers & Ozuna",4062475
31,Maluma,4038656
32,KAROL G & Becky G,3893502
33,Camilo & El Alfa,3881369
34,Lele Pons & Guaynaa,3829612
35,Black Eyed Peas & Shakira,3812511
36,Grupo Firme & Carin Leon,3806193
37,Grupo Firme & Lenin Ramírez,3796049
38,Marca MP,3779648
39,El Fantasma,3721909
40,"Sech, Daddy Yankee, J Balvin, Rosalía & Farruko",3670318
41,Cris Mj,3667167
42,Los Dos Carnales,3653119
43,Polima Westcoast & Pailita,3598157
44,Anitta,3587870
45,Grupo Exterminador,3587604
46,La Adictiva Banda San Jose De Mesillas & Luis R Conriquez,3563694
47,"Farruko, Sech & Myke Towers",3549627
48,Bad Bunny,3491982
49,Marca MP,3474904
50,Tainy & J Balvin,3474095
51,Bad Bunny & Rosalía,3381313
52,Carin Leon,3348199
53,Selena,3325659
54,Rauw Alejandro & Chencho Corleone,3307932
55,Christian Nodal,3293711
