,nom_cancion,reproducciones
0,Me Porto Bonito,11475496
1,Ojitos Lindos,10308227
2,Tití Me Preguntó,9386512
3,Efecto,7820434
4,Party,7564441
5,DÁKITI,7414725
6,Te Felicito,7001196
7,PROVENZA,6841177
8,BICHOTA,6719886
9,Moscow Mule,6355954
10,Tarot,4560530
11,A La Antigüita,4444675
12,En El Radio Un Cochinero,4395363
13,As It Was,4214885
14,Después de la Playa,4142220
15,Andrea,4022432
16,Si Te Pudiera Mentir,3977114
17,LA NOCHE DE ANOCHE,3870457
18,Una Noche en Medellín,3828372
19,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),3778124
20,Un Ratito,3774816
21,Hawái,3652078
22,JGL,3601824
23,Mon Amour - Remix,3566234
24,La Corriente,3566141
25,Yonaguni,3534554
26,Neverita,3526862
27,Los Botones Azules,3466479
28,Chale,3465826
29,Ya Supérame (En Vivo),3430374
30,Aguacero,3425322
31,MAMIII,3317651
32,San Lucas,3301405
33,Desesperados,3296344
34,Reloj,3292992
35,Fuera del mercado,3284351
36,Dos Mil 16,3254356
37,Ya No Somos Ni Seremos,3242254
38,Yo No Soy Celoso,3194584
39,ULTRA SOLO,3166329
40,Me Fui de Vacaciones,3162722
41,Jordan,3110501
42,Todo De Ti,3006171
43,Un Coco,2978223
44,Como Lo Hice Yo,2935811
45,Ya Acabo,2933494
46,Otro Atardecer,2856891
47,El Tóxico,2855069
48,Debo Entender,2796184
49,Running Up That Hill (A Deal With God),2737993
50,Relación - Remix,2678436
51,Se Te Nota (with Guaynaa),2677503
52,La Tóxica,2650289
53,Cada Quien,2636653
54,Pepas,2631958
55,Dime Cómo Quieres,2597973
56,Fuga Pa Cali 2,2584837
57,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2559749
58,X ÚLTIMA VEZ,2531908
59,Si Fuera Fácil,2512107
60,Volví,2499543
61,Botella Tras Botella,2438772
62,Hecha Pa' Mi,2411603
63,Tacones Rojos,2386746
64,Mi Niña,2379083
