,disquera,canciones
0,Rimas Entertainment LLC,80
1,Universal Music Mexico,41
2,Sony Music Latin,35
3,UMLE - Latino,24
4,WEA Latina,23
5,Music VIP Entertainment Inc,18
6,Columbia,17
7,WM Mexico,13
8,Lizos Music,13
9,Sony Music Latin/Duars Entertainment,13
10,Sony Music México,12
11,Afinarte Music,11
12,Republic Records,9
13,Rancho Humilde,9
14,Kevin Kaarl,8
15,DEL Records,8
16,Tamarindo Rekordsz,8
17,Atlantic Records,7
18,Epic,6
19,Rap Trap Records / Alzada Corp,6
20,WM Spain,6
21,N&E Entertainment LLC,6
22,Rich Music,6
23,Capitol Latin,5
24,Calibre,5
25,Warner Records,4
26,Kemosabe Records/RCA Records,4
27,"Andaluz Music, LLC",4
28,Universal Music Spain S.L.,4
29,Sony Music Entertainment,4
30,Aura Music Corp.,4
31,"Producciones Ladon, S.A de C.V.",4
32,"Sueños Globales, LLC",4
33,RCA Records Label,4
34,Parlophone UK,4
35,Kartel Music,4
36,"Babilonia Music, S.A. De C.V.",4
37,LAR Music,3
38,Linked Music / Dynamic Records / EMPIRE,3
39,EMI México,3
40,UMLE - Fonovisa,3
41,BIGHIT MUSIC,3
42,EMI Latin,3
43,ILoveRibs! / MÉCÈN Ent.,3
44,RB Music,3
45,Craft Recordings,3
46,"Manzana Records, Inc.",3
47,Musart-Balboa,3
48,Universal Music Latino / Rimas,3
49,Music VIP Entertainment,3
50,La Base Music Group/ WK Records,2
51,Sony Music Latin/La Industria,2
52,"2020 Real Hasta La Muerte, LLC",2
53,Sony Music Entertainment Chile S.A,2
54,LE Music,2
55,Neon16,2
56,DALE PLAY Records,2
57,Marca MP,2
58,Ariola,2
59,Virgin Music México,2
60,La Factoria,2
61,EMI,2
62,BS Music,2
63,Flow La Movie,2
64,Promotodo Mexico,2
65,Rancho Humilde / Z Records,2
66,473 Music,2
67,Room28,2
68,OCESA Seitrack,2
69,KIDinaKORNER/Interscope Records,2
70,Rimas Entertainment LLC.,2
71,WM Chile,2
72,EMI Latin (LAT),2
73,Homegrown Entertainment,1
74,Vende Music,1
75,Cuatro Siete Tres Music,1
76,Monsieur Perine,1
77,Worldwide Records,1
78,Darkroom/Interscope Records,1
79,Pachy / RB Music,1
80,GodKing Records,1
81,Caiman Music,1
82,Master Q Music,1
83,Serca,1
84,Baby Records Inc,1
85,NEUEN,1
86,Geffen,1
87,"Sahuaro Enterprise, Inc.",1
88,Atlantic Records UK,1
89,Genesis Records,1
90,Nacho,1
91,Puro Grupo Firme Ent,1
92,Al Millon Music,1
93,EMI / Interscope,1
94,Boba Records,1
95,Grupo 360,1
96,Premier Music Group,1
97,Universal Music Latino/ NEON16,1
98,HIA Ent./Interscope Records,1
99,Pina Records,1
100,Sony BMG Music Entertainment,1
101,la humildad de la musica norteña,1
102,"Thrive Music, LLC",1
103,Torbellino Legacy Est 16,1
104,TUSA - Karol G & Nicki Minaj,1
105,Rancho Humilde - Lumbre Music - Streetmob Records,1
106,Somos Osos,1
107,"Flow La Movie, Inc.",1
108,Sosa Mafia Records,1
109,"Gerencia 360 Music, Inc.",1
110,YG Entertainment/Interscope Records,1
111,Jr Torres,1
112,Pachy Music,1
113,DALE PLAY Records / Paulo Londra,1
114,Cali y El Dandee PS,1
115,Pepe Aguilar,1
116,Desvelada Records,1
117,Eliminate Risk LLC,1
118,©️ Ⓟ 2022 Sur Capital Records ™️ ( por Tierra Agencia SRL ),1
119,Nabru Records LLC,1
120,Shawn Mendes LP4-5 PS/ Island,1
121,Anval Music,1
122,White World Music,1
123,Andaluz Records/Disa/UMLE,1
124,Ministry of Sound Recordings,1
125,WM South Africa,1
126,Columbia/B1 Recordings,1
127,Elektra (NEK),1
128,Rancho Humilde/ Lumbre Music,1
129,King Records,1
130,NEON16/Interscope Records,1
131,INZ Records,1
132,Pure Nigga,1
133,"(SME US Latin) Duars Entertainment, Corp. (2)",1
134,Atlantic/Arthouse Records,1
135,88rising Music/Warner Records,1
136,"Duars Entertainment, Corp.",1
137,Eslabon Armado,1
138,Roses and Wine Music / One RPM,1
139,Sony Music UK,1
140,Hyphy Music,1
141,Los Oidos Fresh/ Los Proximos,1
142,Lumbre Music,1
143,Rec. 118,1
144,Rich Vagos Entertainment,1
145,Nice Life/Atlantic,1
146,Shots Studios & Music/10:22pm/Interscope Records,1
147,"2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL",1
148,Prajin Records / Worms Music,1
149,Prajin Parlay / Z Records,1
