,disquera,SUM(reproducciones),ano
0,Rimas Entertainment LLC,179955506.0,2020
1,Sony Music Latin,53844744.0,2020
2,UMLE - Latino,40993128.0,2020
3,Universal Music Mexico,38527728.0,2020
4,WEA Latina,28374399.0,2020
5,Music VIP Entertainment Inc,28056042.0,2020
6,Sony Music Latin/Duars Entertainment,20934684.0,2020
7,Columbia,20851922.0,2020
8,Lizos Music,15119231.0,2020
9,WM Mexico,14694310.0,2020
10,Sony Music México,14124983.0,2020
11,Afinarte Music,12224153.0,2020
12,Rancho Humilde,11649794.0,2020
13,Kevin Kaarl,11431541.0,2021
14,Atlantic Records,10067181.0,2020
15,Republic Records,9925270.0,2020
16,Rap Trap Records / Alzada Corp,9563379.0,2021
17,DEL Records,9481319.0,2020
18,Tamarindo Rekordsz,9011333.0,2020
19,Calibre,8627064.0,2020
20,"Andaluz Music, LLC",8273221.0,2021
21,"Producciones Ladon, S.A de C.V.",7813978.0,2021
22,Universal Music Spain S.L.,7660001.0,2021
23,Rich Music,7372293.0,2020
24,Neon16,6337873.0,2021
25,Parlophone UK,5856250.0,2021
26,Epic,5838264.0,2020
27,N&E Entertainment LLC,5687804.0,2020
28,Kemosabe Records/RCA Records,5675199.0,2021
29,WM Spain,5578553.0,2020
30,Aura Music Corp.,4897901.0,2020
31,Warner Records,4803439.0,2020
32,RB Music,4654805.0,2021
33,RCA Records Label,4512921.0,2021
34,Marca MP,4373354.0,2021
35,Capitol Latin,4220512.0,2020
36,BIGHIT MUSIC,4195349.0,2020
37,"Manzana Records, Inc.",4193142.0,2021
38,Virgin Music México,4126705.0,2021
39,Universal Music Latino / Rimas,4097636.0,2020
40,Sony Music Entertainment,4070217.0,2020
41,"Sueños Globales, LLC",4047506.0,2021
42,Linked Music / Dynamic Records / EMPIRE,3931625.0,2020
43,Kartel Music,3918787.0,2021
44,Nabru Records LLC,3828372.0,2022
45,EMI,3797145.0,2021
46,Sony Music Entertainment Chile S.A,3752291.0,2020
47,Craft Recordings,3727350.0,2020
48,"Babilonia Music, S.A. De C.V.",3719766.0,2020
49,Anval Music,3601824.0,2022
50,Sony Music Latin/La Industria,3501413.0,2020
51,DALE PLAY Records,3486546.0,2020
52,La Base Music Group/ WK Records,3317261.0,2020
53,King Records,3110501.0,2022
54,EMI México,2898267.0,2020
55,BS Music,2712287.0,2021
56,LAR Music,2704746.0,2020
57,Shots Studios & Music/10:22pm/Interscope Records,2677503.0,2020
58,ILoveRibs! / MÉCÈN Ent.,2608250.0,2020
59,Room28,2573385.0,2021
60,Flow La Movie,2547061.0,2021
61,UMLE - Fonovisa,2529249.0,2020
62,Music VIP Entertainment,2502672.0,2020
63,EMI Latin,2367594.0,2020
64,473 Music,2326825.0,2021
65,KIDinaKORNER/Interscope Records,2194044.0,2021
66,Musart-Balboa,2072322.0,2020
67,OCESA Seitrack,1956114.0,2020
68,La Factoria,1933357.0,2020
69,Nacho,1790185.0,2020
70,Universal Music Latino/ NEON16,1680135.0,2020
71,WM Chile,1668368.0,2021
72,Rimas Entertainment LLC.,1658434.0,2020
73,Ariola,1653859.0,2021
74,Pure Nigga,1599261.0,2022
75,TUSA - Karol G & Nicki Minaj,1597438.0,2020
76,88rising Music/Warner Records,1578711.0,2022
77,"Flow La Movie, Inc.",1572103.0,2020
78,Rancho Humilde / Z Records,1526339.0,2020
79,Promotodo Mexico,1525121.0,2020
