posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
1,Calibre 50,A La Antigüita,"Andaluz Music, LLC",4444675,2021
2,Calibre 50,Si Te Pudiera Mentir,Calibre,3977114,2021
3,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,3778124,2021
4,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,3566234,2021
5,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3534554,2021
6,Grupo Firme,Ya Supérame (En Vivo),Music VIP Entertainment Inc,3430374,2021
7,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,3006171,2021
8,"Matisse, Carin Leon",Como Lo Hice Yo,Sony Music México,2935811,2021
9,Marca MP,Ya Acabo,Marca MP,2933494,2021
10,"Grupo Firme, Carin Leon",El Tóxico,Music VIP Entertainment Inc,2855069,2021
11,"Santa Fe Klan, Neto Peña, Yoss Bones",Debo Entender,Rap Trap Records / Alzada Corp,2796184,2021
12,"Grupo Firme, Maluma",Cada Quien,Music VIP Entertainment Inc,2636653,2021
13,Farruko,Pepas,Sony Music Latin,2631958,2021
14,"Aventura, Bad Bunny",Volví,Rimas Entertainment LLC,2499543,2021
15,"Gera MX, Christian Nodal",Botella Tras Botella,Virgin Music México,2438772,2021
16,Sebastian Yatra,Tacones Rojos,UMLE - Latino,2386746,2021
17,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,2363143,2021
18,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,2332330,2021
19,"Grupo Firme, Lenin Ramírez",En Tu Perra Vida,Music VIP Entertainment Inc,2157740,2021
20,"LAGOS, Danny Ocean",Mónaco,WM Mexico,2119809,2021
21,"Christian Nodal, Banda MS de Sergio Lizárraga",La Sinvergüenza,"Producciones Ladon, S.A de C.V.",2115385,2021
22,Maluma,Sobrio,Sony Music Latin,2075069,2021
23,"Santa Fe Klan, Nanpa Básico",Te Ire A Buscar,Rap Trap Records / Alzada Corp,2008462,2021
24,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,DEL Records,1986926,2021
25,Junior H,Se Amerita,WEA Latina,1978753,2021
26,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,WEA Latina,1857906,2021
27,"Calibre 50, Santa Fe Klan, Beto Sierra",Cuidando El Territorio,BS Music,1848742,2021
28,"Grupo Firme, Grupo Recluta",Se Fue La Pantera (En Vivo),Music VIP Entertainment Inc,1717032,2021
29,Vicente Fernández,Un Millón de Primaveras,Columbia,1716146,2021
30,"J Balvin, Maria Becerra",Qué Más Pues?,"Sueños Globales, LLC",1705120,2021
31,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,1661918,2021
32,Natalia Lafourcade,Hasta la Raíz,RCA Records Label,1645624,2021
33,"Camilo, Evaluna Montaner",Índigo,Sony Music Latin,1631685,2021
34,"Sebastian Yatra, Myke Towers",Pareja Del Año,UMLE - Latino,1578200,2021
35,"Tiësto, KAROL G",Don't Be Shy,Atlantic Records,1533715,2021
36,Mi Banda El Mexicano,Ramito De Violetas,Craft Recordings,1515409,2021
37,Ed Maverick,Fuentes de Ortiz,Universal Music Mexico,1511973,2021
38,"Blessd, Justin Quiles, Lenny Tavárez",Medallo,WEA Latina,1505186,2021
39,Trueno,DANCE CRIP,©️ Ⓟ 2022 Sur Capital Records ™️ ( por Tierra Agencia SRL ),1502555,2021
40,"Santa Fe Klan, Big Soto, Neto Peña",Todo Va a Estar Bien,473 Music,1480908,2021
41,"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,Sony Music Latin,1469577,2021
42,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1467254,2021
43,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,1458409,2021
44,Adele,Easy On Me,Columbia,1437506,2021
45,Ingratax,París,Room28,1429036,2021
46,Gerardo Ortiz,Tranquilito,Sony Music Latin,1404699,2021
47,"Grupo Firme, Grupo Codiciado",Gracias - En Vivo,Music VIP Entertainment Inc,1379437,2021
48,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,KIDinaKORNER/Interscope Records,1375168,2021
49,"TINI, Maria Becerra",Miénteme,Sony Music Latin,1368311,2021
50,Rauw Alejandro,Cúrame,Sony Music Latin/Duars Entertainment,1339660,2021
51,"Mora, Bad Bunny, Sech",Volando - Remix,Rimas Entertainment LLC,1328085,2021
52,Leo Rizzi,Amapolas,WM Spain,1323827,2021
53,"Dímelo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tavárez",Se Le Ve,Rich Music,1307786,2021
54,Bad Bunny,A Tu Merced,Rimas Entertainment LLC,1277535,2021
55,Maluma,Hawái,Sony Music Latin,1269630,2021
56,Carin Leon,Tu - Live,Tamarindo Rekordsz,1254582,2021
57,El Fantasma,El Bélico,Afinarte Music,1251861,2021
58,Banda MS de Sergio Lizárraga,La Casita,Lizos Music,1248102,2021
59,"Eslabon Armado, DannyLux",Jugaste y Sufrí,DEL Records,1247320,2021
60,"El Fantasma, Los Dos Carnales",Cabrón y Vago - En Vivo,Afinarte Music,1213842,2021
61,"Coldplay, BTS",My Universe,Parlophone UK,1195539,2021
62,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,1187982,2021
63,"CKay, Dj Yo!, AX'EL",love nwantiti (feat. Dj Yo! & AX'EL) - Remix,WM South Africa,1186697,2021
64,Fuerza Regida,Descansando,Rancho Humilde/ Lumbre Music,1171948,2021
65,Cardenales De Nuevo León,Belleza De Cantina,Universal Music Mexico,1170088,2021
66,"Grupo Firme, Grupo Recluta",Hablando Claro (En Vivo),Music VIP Entertainment Inc,1162340,2021
67,"Natanael Cano, Oscar Maydon",Porte Exuberante,WEA Latina,1156669,2021
68,"Gera MX, Jayrick, Ervin River",Complicado,INZ Records,1150041,2021
