posicion,nom_cancion,nom_artista,disquera,reproducciones,ano
1,Te Felicito,Shakira & Rauw Alejandro,Sony Music Entertainment Latin,16301322,2022
2,Tití Me Preguntó,Bad Bunny,Rimas Entertainment LLC,14960812,2022
3,Me Porto Bonito,Bad Bunny & Chencho Corleone,Rimas Entertainment LLC,12456996,2022
4,En El Radio Un Cochinero,Victor Cibrian,Rancho Humilde,10269896,2022
5,Ojitos Lindos,Bad Bunny & Bomba Estéreo,Rimas Entertainment LLC,8249633,2022
6,PROVENZA,KAROL G,UMLE - Latino,8079449,2022
7,Los Botones Azules,Junior H & Luis R Conriquez,WEA Latina,5579256,2022
8,Efecto,Bad Bunny,Rimas Entertainment LLC,5573917,2022
9,Party,Bad Bunny & Rauw Alejandro,Rimas Entertainment LLC,5469502,2022
10,Chale,Edén Muñoz,Lizos Music,5433963,2022
11,"Cnv Sound, Vol. Special 5k",Pure Negga,Pure Nigga,4893921,2022
12,Ya No Somos Ni Seremos,Christian Nodal,"Producciones Ladon, S.A de C.V.",4621007,2022
13,San Lucas,Kevin Kaarl,Kevin Kaarl,4534719,2022
14,Yet To Come (The Most Beautiful Moment),BTS,BIGHIT MUSIC,4529198,2022
15,MAMIII,KAROL G & Becky G,Kemosabe Records/RCA Records,3893502,2022
16,Una Noche en Medellín,Cris Mj,Nabru Records LLC,3667167,2022
17,ULTRA SOLO,Polima Westcoast & Pailita,Sony Music Entertainment Chile S.A,3598157,2022
18,Envolver,Anitta,Warner Records,3587870,2022
19,JGL,La Adictiva Banda San Jose De Mesillas & Luis R Conriquez,Anval Music,3563694,2022
20,Moscow Mule,Bad Bunny,Rimas Entertainment LLC,3491982,2022
21,Desesperados,Rauw Alejandro & Chencho Corleone,Sony Music Latin/Duars Entertainment,3307932,2022
22,Andrea,Bad Bunny & Buscabulla,Rimas Entertainment LLC,3290054,2022
23,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",LAR Music,3285410,2022
24,Míranos Ahora,Calibre 50,"Andaluz Music, LLC",3152149,2022
25,Me Metí En El Ruedo (En Vivo),Luis R Conriquez,Kartel Music,3126192,2022
26,As It Was,Harry Styles,Columbia,3092259,2022
27,La Boda Del Huitlacoche (En Vivo),Carin Leon & --,Tamarindo Rekordsz,3049273,2022
28,Running Up That Hill,Kate Bush,Parlophone UK,2815555,2022
29,Partido En Dos,Chuy Lizárraga,Favorito Musik,2767883,2022
30,Soy El Unico,Yahritza Y Su Esencia,Lumbre Music,2744364,2022
31,"Villano Antillano: Bzrp Music Sessions, Vol. 51",Bizarrap & Villano Antillano,DALE PLAY Records,2739892,2022
32,Mar y Tierra,Santa Fe Klan,Cuatro Siete Tres Music,2690043,2022
33,Morena,Tornillo,Cuatro Siete Tres Music,2612952,2022
