posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
1,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,11475496,2022
2,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,10308227,2022
3,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,9386512,2022
4,Bad Bunny,Efecto,Rimas Entertainment LLC,7820434,2022
5,"Bad Bunny, Rauw Alejandro",Party,Rimas Entertainment LLC,7564441,2022
6,"Shakira, Rauw Alejandro",Te Felicito,Sony Music Latin,7001196,2022
7,KAROL G,PROVENZA,UMLE - Latino,6841177,2022
8,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,6355954,2022
9,"Bad Bunny, Jhay Cortez",Tarot,Rimas Entertainment LLC,4560530,2022
10,Victor Cibrian,En El Radio Un Cochinero,Rancho Humilde,4395363,2022
11,Harry Styles,As It Was,Columbia,4214885,2022
12,Bad Bunny,Después de la Playa,Rimas Entertainment LLC,4142220,2022
13,"Bad Bunny, Buscabulla",Andrea,Rimas Entertainment LLC,4022432,2022
14,Cris Mj,Una Noche en Medellín,Nabru Records LLC,3828372,2022
15,Bad Bunny,Un Ratito,Rimas Entertainment LLC,3774816,2022
16,"La Adictiva Banda San José de Mesillas, Luis R Conriquez",JGL,Anval Music,3601824,2022
17,"Bad Bunny, Tony Dize",La Corriente,Rimas Entertainment LLC,3566141,2022
18,Bad Bunny,Neverita,Rimas Entertainment LLC,3526862,2022
19,"Junior H, Luis R Conriquez",Los Botones Azules,WEA Latina,3466479,2022
20,Eden Muñoz,Chale,Lizos Music,3465826,2022
21,Bad Bunny,Aguacero,Rimas Entertainment LLC,3425322,2022
22,"Becky G, KAROL G",MAMIII,Kemosabe Records/RCA Records,3317651,2022
23,Kevin Kaarl,San Lucas,Kevin Kaarl,3301405,2022
24,"Rauw Alejandro, Chencho Corleone",Desesperados,Sony Music Latin/Duars Entertainment,3296344,2022
25,Danny Ocean,Fuera del mercado,Atlantic Records,3284351,2022
26,Bad Bunny,Dos Mil 16,Rimas Entertainment LLC,3254356,2022
27,Christian Nodal,Ya No Somos Ni Seremos,"Producciones Ladon, S.A de C.V.",3242254,2022
28,Bad Bunny,Yo No Soy Celoso,Rimas Entertainment LLC,3194584,2022
29,"Polimá Westcoast, Pailita",ULTRA SOLO,Sony Music Entertainment Chile S.A,3166329,2022
30,Bad Bunny,Me Fui de Vacaciones,Rimas Entertainment LLC,3162722,2022
31,Ryan Castro,Jordan,King Records,3110501,2022
32,Bad Bunny,Un Coco,Rimas Entertainment LLC,2978223,2022
33,"Bad Bunny, The Marías",Otro Atardecer,Rimas Entertainment LLC,2856891,2022
34,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,2737993,2022
35,Grupo Los de la O,Fuga Pa Cali 2,"Manzana Records, Inc.",2584837,2022
36,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,2559749,2022
37,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,Republic Records,2531908,2022
38,Grupo Marca Registrada,Si Fuera Fácil,RB Music,2512107,2022
39,Bad Bunny,Yonaguni,Rimas Entertainment LLC,2348647,2022
40,Anitta,Envolver,Warner Records,2337086,2022
41,Calibre 50,Si Te Pudiera Mentir,Calibre,2334607,2022
42,Bad Bunny,Un Verano Sin Ti,Rimas Entertainment LLC,2329242,2022
43,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,2324326,2022
44,Kevin Kaarl,Colapso,Kevin Kaarl,2175401,2022
45,Calibre 50,A La Antigüita,"Andaluz Music, LLC",2161928,2022
46,Bad Bunny,Enséñame a Bailar,Rimas Entertainment LLC,2106186,2022
47,C. Tangana,Demasiadas Mujeres,Sony Music Entertainment,2025780,2022
48,Sebastian Yatra,Tacones Rojos,UMLE - Latino,1989546,2022
49,Bad Bunny,Agosto,Rimas Entertainment LLC,1976130,2022
50,Bad Bunny,El Apagón,Rimas Entertainment LLC,1945317,2022
51,"Grupo Firme, Grupo Recluta",Se Fue La Pantera (En Vivo),Music VIP Entertainment Inc,1876828,2022
52,"Natanael Cano, Steve Aoki",Nataaoki,WEA Latina,1867089,2022
53,BTS,Yet To Come,BIGHIT MUSIC,1834722,2022
54,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,1833265,2022
55,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",DALE PLAY Records,1799224,2022
56,Bad Bunny,A Tu Merced,Rimas Entertainment LLC,1700396,2022
57,"Gera MX, Christian Nodal",Botella Tras Botella,Virgin Music México,1687933,2022
58,Ed Maverick,Fuentes de Ortiz,Universal Music Mexico,1627140,2022
59,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,1623111,2022
60,"Bad Bunny, Daddy Yankee",La Santa,Rimas Entertainment LLC,1613460,2022
61,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),UMLE - Latino,1610273,2022
62,"Matisse, Carin Leon",Como Lo Hice Yo,Sony Music México,1602226,2022
63,"Pure Negga, Ziko","Cnv Sound, Vol. 14",Pure Nigga,1599261,2022
